method,budget,true_class,predicted_class,count,row_normalized
Coordinate_RF,50,4,4,423301,0.8056737723639132
EXP010,100,1,1,1098585,0.7557684369840396
EXP010,100,1,2,282477,0.19432925151348376
EXP010,100,1,3,39444,0.02713538800220143
EXP010,100,1,4,33094,0.02276692350027518
EXP010,100,2,1,550828,0.3239402493530934
EXP010,100,2,2,940396,0.5530439896494942
EXP010,100,2,3,100918,0.0593495648082804
EXP010,100,2,4,108258,0.06366619618913197
EXP010,100,3,1,166619,0.1292622187742436
EXP010,100,3,2,234713,0.18208921644685802
EXP010,100,3,3,717274,0.5564577191621412
EXP010,100,3,4,170394,0.13219084561675717
EXP010,100,4,1,27623,0.053595265812960806
EXP010,100,4,2,74298,0.14415599534342258
EXP010,100,4,3,67631,0.13122041133100504
EXP010,100,4,4,345848,0.6710283275126115
EXPF,100,1,1,1103238,0.7589694551458448
EXPF,100,1,2,276246,0.1900426527242708
EXPF,100,1,3,46200,0.0317831590533847
EXPF,100,1,4,27916,0.019204733076499725
EXPF,100,2,1,515061,0.3029057868736768
EXPF,100,2,2,973811,0.5726952481768995
EXPF,100,2,3,130599,0.07680486944248412
EXPF,100,2,4,80929,0.04759409550693954
EXPF,100,3,1,152390,0.1182234290147401
EXPF,100,3,2,213586,0.16569899146625292
EXPF,100,3,3,808668,0.6273607447633824
EXPF,100,3,4,114356,0.08871683475562452
EXPF,100,4,1,30068,0.058339154055102836
EXPF,100,4,2,70851,0.13746798603026775
EXPF,100,4,3,62230,0.12074117190531626
EXPF,100,4,4,352251,0.6834516880093131
ASTRA_AGF,100,1,1,1156417,0.7955537974683544
ASTRA_AGF,100,1,2,198509,0.1365637039075399
ASTRA_AGF,100,1,3,60443,0.041581590533847
ASTRA_AGF,100,1,4,38231,0.026300908090258666
ASTRA_AGF,100,2,1,309392,0.18195248176899553
ASTRA_AGF,100,2,2,1111070,0.6534168430957422
ASTRA_AGF,100,2,3,160966,0.09466360856269113
ASTRA_AGF,100,2,4,118972,0.06996706657257117
ASTRA_AGF,100,3,1,75251,0.05837936384794414
ASTRA_AGF,100,3,2,173096,0.13428704422032584
ASTRA_AGF,100,3,3,890898,0.6911543832428239
ASTRA_AGF,100,3,4,149755,0.11617920868890613
ASTRA_AGF,100,4,1,11428,0.022173069460613117
ASTRA_AGF,100,4,2,40956,0.07946449359720606
ASTRA_AGF,100,4,3,42935,0.08330422972448584
ASTRA_AGF,100,4,4,420081,0.815058207217695
Coordinate_RF,100,1,1,1184454,0.8148417721518987
Coordinate_RF,100,1,2,171166,0.11775316455696203
Coordinate_RF,100,1,3,59215,0.040736791414419375
Coordinate_RF,100,1,4,38765,0.026668271876719867
Coordinate_RF,100,2,1,256957,0.15111561985415198
Coordinate_RF,100,2,2,1170634,0.6884462479416608
Coordinate_RF,100,2,3,154802,0.09103857915784522
Coordinate_RF,100,2,4,118007,0.06939955304634204
Coordinate_RF,100,3,1,77469,0.060100077579519004
Coordinate_RF,100,3,2,174425,0.1353180760279286
Coordinate_RF,100,3,3,888096,0.6889806051202483
Coordinate_RF,100,3,4,149010,0.11560124127230412
Coordinate_RF,100,4,1,11258,0.02184322856034148
Coordinate_RF,100,4,2,41331,0.08019208381839348
Coordinate_RF,100,4,3,42897,0.08323050058207218
Coordinate_RF,100,4,4,419914,0.8147341870391929
EXP010,200,1,1,1081974,0.7547251674107143
EXP010,200,1,2,280366,0.19556780133928572
EXP010,200,1,3,38676,0.026978236607142856
EXP010,200,1,4,32584,0.022728794642857143
EXP010,200,2,1,537739,0.3200065460604618
EXP010,200,2,2,939189,0.5589079980956915
EXP010,200,2,3,96121,0.05720126160437991
EXP010,200,2,4,107351,0.0638841942394668
EXP010,200,3,1,164046,0.12927186761229315
EXP010,200,3,2,229606,0.18093459416863672
EXP010,200,3,3,708201,0.5580780141843972
EXP010,200,3,4,167147,0.13171552403467296
EXP010,200,4,1,26091,0.052666532095276546
EXP010,200,4,2,71548,0.14442470730722648
EXP010,200,4,3,64494,0.130185708518369
EXP010,200,4,4,333267,0.672723052079128
EXPF,200,1,1,1087012,0.7582393973214285
EXPF,200,1,2,273863,0.19103166852678571
EXPF,200,1,3,45895,0.03201381138392857
EXPF,200,1,4,26830,0.018715122767857143
EXPF,200,2,1,501709,0.2985652225660557
EXPF,200,2,2,972276,0.5785979528683647
EXPF,200,2,3,128492,0.0764651273506308
EXPF,200,2,4,77923,0.04637169721494882
EXPF,200,3,1,150090,0.118274231678487
EXPF,200,3,2,206927,0.16306304176516942
EXPF,200,3,3,802703,0.6325476753349094
EXPF,200,3,4,109280,0.0861150512214342
EXPF,200,4,1,28428,0.05738393217601938
EXPF,200,4,2,67951,0.13716390795316916
EXPF,200,4,3,59313,0.11972749293500203
EXPF,200,4,4,339708,0.6857246669358095
ASTRA_AGF,200,1,1,1149326,0.8017061941964285
ASTRA_AGF,200,1,2,186283,0.12994070870535715
ASTRA_AGF,200,1,3,62098,0.043316127232142856
ASTRA_AGF,200,1,4,35893,0.02503696986607143
ASTRA_AGF,200,2,1,267694,0.1593037372054273
ASTRA_AGF,200,2,2,1143485,0.6804838133777672
ASTRA_AGF,200,2,3,162782,0.09687098309926208
ASTRA_AGF,200,2,4,106439,0.06334146631754345
ASTRA_AGF,200,3,1,69396,0.05468557919621749
ASTRA_AGF,200,3,2,162296,0.12789282899921198
ASTRA_AGF,200,3,3,903018,0.7115981087470449
ASTRA_AGF,200,3,4,134290,0.1058234830575256
ASTRA_AGF,200,4,1,9847,0.01987686717803795
ASTRA_AGF,200,4,2,36574,0.07382721033508276
ASTRA_AGF,200,4,3,39299,0.0793278159063383
ASTRA_AGF,200,4,4,409680,0.826968106580541
Coordinate_RF,200,1,1,1185691,0.8270724051339285
Coordinate_RF,200,1,2,151436,0.10563337053571428
Coordinate_RF,200,1,3,60510,0.04220842633928571
Coordinate_RF,200,1,4,35963,0.02508579799107143
Coordinate_RF,200,2,1,213496,0.12705070221375864
Coordinate_RF,200,2,2,1208987,0.7194638181385384
Coordinate_RF,200,2,3,153463,0.09132527969531064
Coordinate_RF,200,2,4,104454,0.06216019995239229
Coordinate_RF,200,3,1,72600,0.057210401891252954
Coordinate_RF,200,3,2,163717,0.12901260835303388
Coordinate_RF,200,3,3,899262,0.7086382978723405
Coordinate_RF,200,3,4,133421,0.10513869188337273
Coordinate_RF,200,4,1,10405,0.02100322971336294
Coordinate_RF,200,4,2,36441,0.07355874041178845
Coordinate_RF,200,4,3,39055,0.07883528461849011
Coordinate_RF,200,4,4,409499,0.8266027452563585
