budget,rank,eigenvalue,raw_eigenvalue,rho
100,52,0.0002637026225374105,2.9339734392591074e-07,0.15
100,53,0.000218992302892898,6.67510312840011e-08,0.15
100,54,0.00015781842835573754,2.6737434763675605e-09,0.15
100,55,0.00010793906723213338,4.925559893404945e-10,0.15
100,56,7.371839368736983e-05,3.849865517098943e-10,0.15
100,57,6.814186422936171e-05,0.0,0.15
100,58,5.9250631613727246e-05,-2.3954982845940334e-10,0.15
100,59,2.631554312407958e-05,-7.68708815734497e-10,0.15
100,60,1.0000000000000243e-07,-2.0985122876484034e-09,0.15
200,1,14611386.08313508,15684271.110434663,0.075
200,2,3246742.7809779495,3394507.2584378826,0.075
200,3,2528564.725787377,2644757.157757746,0.075
200,4,1768657.2717826397,1848361.1381882967,0.075
200,5,1203424.7674759359,1223686.9102807739,0.075
200,6,597307.5724379593,575637.1313139789,0.075
200,7,477090.2790918632,418168.2629026215,0.075
200,8,333403.2075588485,312627.30911665224,0.075
200,9,286598.9367627024,257959.78116298307,0.075
200,10,228459.58632129748,191729.53620337788,0.075
200,11,166070.96839730066,145961.2679767203,0.075
200,12,151504.4511834788,103667.53812719768,0.075
200,13,148135.24933203464,74609.6228162635,0.075
200,14,133023.72366638973,67155.016180449,0.075
200,15,127503.01128721339,49497.14883193218,0.075
200,16,120409.25602259995,36692.852903200146,0.075
200,17,100162.25968902474,32834.9489697648,0.075
200,18,93463.66172324294,31090.836406275233,0.075
200,19,84432.11513442779,27274.93412123001,0.075
200,20,79550.28727215048,22812.8455417199,0.075
200,21,72040.82820355459,14194.311693345537,0.075
200,22,64264.820694708986,11700.230443766908,0.075
200,23,61109.4954534001,9799.530546354228,0.075
200,24,60971.39890491858,9328.559822243582,0.075
200,25,53208.787774580625,7621.061923609571,0.075
200,26,49181.48638747701,6458.147049937391,0.075
200,27,42858.481184133925,5433.579541703773,0.075
200,28,40670.16589828674,4940.282781440991,0.075
200,29,38288.810144822106,3692.4650758875628,0.075
