method,budget,trial,f1,seconds
EXPF,200,16,0.6609215611128111,0.07405304908752441
ASTRA_AGF,5,17,0.6303272294924667,0.729107141494751
Coordinate_RF,5,17,0.623493493163785,0.717888355255127
EXP010,5,17,0.50974039234469,0.020992279052734375
EXPF,5,17,0.5319751305160663,0.05689072608947754
ASTRA_AGF,25,17,0.6971689039806852,0.786074161529541
Coordinate_RF,25,17,0.7104114027995057,0.800586462020874
EXP010,25,17,0.6241003536566864,0.03556013107299805
EXPF,25,17,0.6406320025348554,0.09606218338012695
ASTRA_AGF,50,17,0.708198356761432,0.8385021686553955
Coordinate_RF,50,17,0.7206333860156181,0.8526840209960938
EXP010,50,17,0.6181820314871855,0.03208780288696289
EXPF,50,17,0.6533837757238927,0.1346738338470459
ASTRA_AGF,100,17,0.7172742556382548,0.9511020183563232
Coordinate_RF,100,17,0.7284741324976693,0.8821611404418945
EXP010,100,17,0.6262301209092735,0.02084493637084961
EXPF,100,17,0.658013630452263,0.07383203506469727
ASTRA_AGF,200,17,0.7376942596773743,1.0817360877990723
Coordinate_RF,200,17,0.7530548445040471,1.109513521194458
EXP010,200,17,0.6244288255334003,0.025426864624023438
EXPF,200,17,0.6579994769622377,0.06764912605285645
ASTRA_AGF,5,18,0.6557105785064447,0.6706423759460449
Coordinate_RF,5,18,0.6551649935879991,0.7074229717254639
EXP010,5,18,0.5977215631219349,0.03011775016784668
EXPF,5,18,0.5390515290132588,0.05108523368835449
ASTRA_AGF,25,18,0.687781897932542,0.7993178367614746
Coordinate_RF,25,18,0.7009668656449338,0.8306624889373779
EXP010,25,18,0.6056537304036131,0.021106243133544922
EXPF,25,18,0.650926324944588,0.0685572624206543
ASTRA_AGF,50,18,0.7055018428601548,0.8220071792602539
Coordinate_RF,50,18,0.7160039760156452,0.8189444541931152
EXP010,50,18,0.6311936066465889,0.031005859375
EXPF,50,18,0.6671529861578125,0.06843185424804688
ASTRA_AGF,100,18,0.7184350800567936,0.8834104537963867
Coordinate_RF,100,18,0.7344804797318911,0.9941046237945557
EXP010,100,18,0.6331142274950377,0.02299809455871582
EXPF,100,18,0.6758432098471493,0.06438779830932617
ASTRA_AGF,200,18,0.7269819360113831,1.105259656906128
Coordinate_RF,200,18,0.7455896334102857,1.1267340183258057
EXP010,200,18,0.630886687015785,0.024016141891479492
EXPF,200,18,0.6693724515616881,0.07565784454345703
ASTRA_AGF,5,19,0.6447791438440874,0.7181539535522461
Coordinate_RF,5,19,0.6412198445287863,0.6758778095245361
EXP010,5,19,0.4921434075520622,0.0194854736328125
EXPF,5,19,0.4791544853999992,0.058413028717041016
ASTRA_AGF,25,19,0.6883571590547922,0.8309290409088135
Coordinate_RF,25,19,0.6894519105597818,0.817997932434082
EXP010,25,19,0.5983457299772561,0.020883798599243164
EXPF,25,19,0.6259616645035914,0.08463287353515625
ASTRA_AGF,50,19,0.6823779022867521,0.847031831741333
Coordinate_RF,50,19,0.6884600978539296,0.8580636978149414
EXP010,50,19,0.6091495951166136,0.02320694923400879
EXPF,50,19,0.6416314205761499,0.07098793983459473
ASTRA_AGF,100,19,0.7142626965669796,0.96793532371521
Coordinate_RF,100,19,0.7276555803929464,0.8913300037384033
EXP010,100,19,0.6296625372433896,0.021482229232788086
EXPF,100,19,0.6571732460291559,0.08120918273925781
ASTRA_AGF,200,19,0.7402285134372895,1.0933055877685547
Coordinate_RF,200,19,0.7523011441084986,1.1757636070251465
EXP010,200,19,0.6273231466498377,0.027910947799682617
EXPF,200,19,0.6626530047910659,0.0856475830078125
ASTRA_AGF,5,20,0.6370974359335516,0.6928963661193848
Coordinate_RF,5,20,0.639846709285447,0.6733250617980957
EXP010,5,20,0.5774762326106475,0.026156187057495117
EXPF,5,20,0.515633086448164,0.05912351608276367
ASTRA_AGF,25,20,0.6877903960547977,0.7804365158081055
Coordinate_RF,25,20,0.6917172601650079,0.8543529510498047
EXP010,25,20,0.629228849412276,0.04178571701049805
EXPF,25,20,0.6588036238927654,0.10880255699157715
ASTRA_AGF,50,20,0.7134744988457439,0.8518822193145752
Coordinate_RF,50,20,0.7197838839561048,0.8453710079193115
EXP010,50,20,0.6316266417816782,0.030864477157592773
EXPF,50,20,0.664350855705382,0.10210990905761719
ASTRA_AGF,100,20,0.7117665175954209,0.915142297744751
Coordinate_RF,100,20,0.7280497943759211,0.9026408195495605
EXP010,100,20,0.6303164866244125,0.038751840591430664
EXPF,100,20,0.659074165534202,0.10363888740539551
ASTRA_AGF,200,20,0.734851974303615,1.1624770164489746
Coordinate_RF,200,20,0.7530030047466068,1.1068096160888672
EXP010,200,20,0.6254034653608743,0.032404422760009766
EXPF,200,20,0.6634209431541984,0.09502029418945312
ASTRA_AGF,5,21,0.6572889235096459,0.7373361587524414
Coordinate_RF,5,21,0.6562451270449828,0.7227535247802734
EXP010,5,21,0.6139238280404216,0.025514841079711914
EXPF,5,21,0.5943220811059223,0.08207917213439941
ASTRA_AGF,25,21,0.6840900584244637,0.8342318534851074
Coordinate_RF,25,21,0.6947721777814506,0.7978920936584473
EXP010,25,21,0.619339469813899,0.043349266052246094
EXPF,25,21,0.6342091619513412,0.09592270851135254
ASTRA_AGF,50,21,0.696610263196415,0.9129972457885742
Coordinate_RF,50,21,0.7071229817282931,0.8362298011779785
EXP010,50,21,0.6215044132883041,0.038332462310791016
EXPF,50,21,0.6488921091813515,0.10631632804870605
ASTRA_AGF,100,21,0.7279208449431072,0.9531354904174805
Coordinate_RF,100,21,0.7469244365810365,0.9267637729644775
EXP010,100,21,0.6228266253938948,0.039308786392211914
EXPF,100,21,0.6561942995839506,0.10460352897644043
ASTRA_AGF,200,21,0.7382842555543792,1.110929250717163
Coordinate_RF,200,21,0.7570902163164098,1.15712308883667
EXP010,200,21,0.6243267671427534,0.03167986869812012
EXPF,200,21,0.6590095955227988,0.10342168807983398
ASTRA_AGF,5,22,0.6513017673784891,0.6728518009185791
Coordinate_RF,5,22,0.652532266052559,0.6832480430603027
EXP010,5,22,0.6063283493684677,0.02839064598083496
EXPF,5,22,0.6080402029104333,0.07414722442626953
ASTRA_AGF,25,22,0.6880973393400958,0.7751419544219971
Coordinate_RF,25,22,0.6875324535002306,0.8238234519958496
EXP010,25,22,0.6151633835252618,0.037809133529663086
EXPF,25,22,0.6455065051096931,0.10900354385375977
ASTRA_AGF,50,22,0.7082638771094253,0.8999528884887695
Coordinate_RF,50,22,0.7194973094027522,0.8583087921142578
EXP010,50,22,0.6258328101551273,0.043683767318725586
EXPF,50,22,0.6603522023307884,0.10668587684631348
ASTRA_AGF,100,22,0.728525098050588,0.9064006805419922
Coordinate_RF,100,22,0.73774328137154,0.9404444694519043
EXP010,100,22,0.6304070118413355,0.030914783477783203
EXPF,100,22,0.6638954408289215,0.09163212776184082
ASTRA_AGF,200,22,0.7473317422414556,1.1793792247772217
Coordinate_RF,200,22,0.7591542966867773,1.1122407913208008
EXP010,200,22,0.6314945200314661,0.02902960777282715
EXPF,200,22,0.6647343162065753,0.07294702529907227
ASTRA_AGF,5,23,0.6574125050145441,0.6861178874969482
Coordinate_RF,5,23,0.6575633378944382,0.6748495101928711
EXP010,5,23,0.5798677066164287,0.017206430435180664
EXPF,5,23,0.5862930629414379,0.04105210304260254
ASTRA_AGF,25,23,0.6716106565828001,0.7769412994384766
Coordinate_RF,25,23,0.6679358027056355,0.7995822429656982
EXP010,25,23,0.5646678748585089,0.024182558059692383
EXPF,25,23,0.5908854777686101,0.07267236709594727
ASTRA_AGF,50,23,0.6977894298220448,0.8220300674438477
Coordinate_RF,50,23,0.7002213094812944,0.8752486705780029
EXP010,50,23,0.6147470146649932,0.025331735610961914
EXPF,50,23,0.6451567047647486,0.07070541381835938
ASTRA_AGF,100,23,0.7135740491723035,0.9041182994842529
Coordinate_RF,100,23,0.7235105425165216,0.9015448093414307
EXP010,100,23,0.6215957976922062,0.021004676818847656
EXPF,100,23,0.6517386015203517,0.07059669494628906
ASTRA_AGF,200,23,0.738466157685234,1.0977799892425537
Coordinate_RF,200,23,0.7580422624394237,1.0879135131835938
